Nomber of atoms =  6
Atoms =  ['O', 'N', 'CH3', 'C', 'H', 'H']
Valence electrons =  [6, 5, 1, 4, 1, 1]
Fixed electrons =  [[0, 0]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
  200,  [[0, 1], [0, 2], [0, 4], [1, 1], [1, 3], [1, 5], [3, 3], [3, 3]]
  201,  [[0, 0], [0, 1], [0, 4], [1, 2], [1, 3], [1, 5], [3, 3], [3, 3]]
  202,  [[0, 0], [0, 0], [0, 2], [1, 1], [1, 3], [1, 4], [3, 3], [3, 3]]
  203,  [[0, 0], [0, 0], [0, 1], [1, 3], [1, 3], [1, 3], [2, 3], [4, 4]]
  204,  [[0, 0], [0, 0], [0, 1], [1, 3], [1, 3], [1, 4], [2, 3], [5, 5]]
  205,  [[0, 0], [0, 0], [0, 1], [1, 1], [1, 3], [1, 3], [3, 3], [4, 4]]
  206,  [[0, 0], [0, 0], [0, 1], [1, 1], [1, 3], [1, 3], [2, 3], [4, 5]]
  207,  [[0, 0], [0, 1], [0, 4], [1, 3], [1, 3], [1, 3], [3, 3], [5, 5]]
  208,  [[0, 1], [0, 2], [0, 4], [1, 1], [1, 3], [1, 3], [3, 3], [5, 5]]
  209,  [[0, 0], [0, 1], [0, 4], [1, 2], [1, 3], [1, 3], [3, 3], [5, 5]]
  210,  [[0, 0], [0, 1], [0, 4], [1, 1], [1, 3], [1, 3], [2, 5], [3, 3]]
  211,  [[0, 0], [0, 0], [0, 2], [1, 1], [1, 3], [1, 3], [3, 3], [4, 4]]
  212,  [[0, 0], [0, 0], [0, 2], [1, 3], [1, 3], [1, 4], [1, 5], [3, 3]]
  213,  [[0, 0], [0, 0], [0, 2], [1, 1], [1, 3], [1, 3], [1, 4], [3, 5]]
  214,  [[0, 0], [0, 0], [0, 2], [1, 3], [1, 3], [1, 3], [1, 4], [5, 5]]
  215,  [[0, 0], [0, 1], [0, 3], [1, 1], [1, 1], [1, 3], [2, 3], [3, 4]]
  216,  [[0, 0], [0, 3], [0, 3], [1, 1], [1, 1], [1, 1], [2, 3], [3, 3]]
  217,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 1], [1, 1], [2, 3], [3, 4]]
  218,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 1], [1, 3], [3, 3], [3, 4]]
  219,  [[0, 1], [0, 3], [0, 4], [1, 1], [1, 1], [2, 3], [3, 3], [3, 5]]
  220,  [[0, 1], [0, 3], [0, 4], [1, 1], [1, 1], [1, 3], [3, 3], [3, 5]]
  221,  [[0, 3], [0, 3], [0, 4], [1, 1], [1, 1], [1, 1], [2, 3], [3, 5]]
  222,  [[0, 2], [0, 3], [0, 4], [1, 1], [1, 1], [1, 1], [3, 3], [3, 3]]
  223,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 1], [1, 2], [3, 3], [3, 3]]
  224,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 1], [1, 1], [3, 3], [3, 5]]
